Year,Month,HK_NOx_tonnes,HK_PM10_tonnes,HK_SO2_tonnes,GDP_real_monthly,ln_GDP_real,EI_NOx,ln_EI_NOx,EI_PM10,ln_EI_PM10,EI_SO2,ln_EI_SO2,fav_share,PRD_exposure_NOx,PRD_exposure_PM10,PRD_exposure_SO2,Temp_mean,RH_mean,Rainfall_mean,Pressure_mean,dln_EI_NOx,dPRD_exposure_NOx,dln_EI_PM10,dPRD_exposure_PM10,dln_EI_SO2,dPRD_exposure_SO2,dTemp_mean,dRH_mean,dRainfall_mean,dPressure_mean,dfav_share,dPRD_exposure_NOx_lag0,dPRD_exposure_NOx_lag1,dPRD_exposure_NOx_lag2,dPRD_exposure_NOx_lag3,dPRD_exposure_NOx_lag6,dPRD_exposure_PM10_lag0,dPRD_exposure_PM10_lag1,dPRD_exposure_PM10_lag2,dPRD_exposure_PM10_lag3,dPRD_exposure_PM10_lag6,dPRD_exposure_SO2_lag0,dPRD_exposure_SO2_lag1,dPRD_exposure_SO2_lag2,dPRD_exposure_SO2_lag3,dPRD_exposure_SO2_lag6,T,month_year
2001,1,9569.3772644,682.5026921,7091.015383400001,137038.66666666666,11.828018403431308,0.06982976044036233,-2.661694992742102,0.004980365824487493,-5.302251931911107,0.05174463205080806,-2.961434580703631,0.5666666666666667,6.094598630853452,6.069019378383981,6.051801850866813,17.32,78.3,1.5933333333333333,1017.4366666666666,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2001_1
2001,2,9064.9640924,678.9098814,6758.4225425,137038.66666666666,11.828018403431308,0.06614895133538953,-2.715846241375408,0.004954148328452311,-5.307530007214163,0.0493176320734294,-3.0094736133262256,0.5357142857142857,5.722591746712273,5.7074915659560075,5.694589276718667,17.607142857142858,78.46428571428571,0.40535714285714286,1016.9142857142857,-0.054151248633306004,-0.3720068841411788,-0.005278075303055907,-0.3615278124279735,-0.04803903262259457,-0.35721257414814556,0.28714285714285737,0.16428571428571104,-1.1879761904761903,-0.5223809523808995,-0.030952380952380953,-0.3720068841411788,,,,,-0.3615278124279735,,,,,-0.35721257414814556,,,,,2,2001_2
2001,3,10126.1973411,731.027997,7547.077323900001,137038.66666666666,11.828018403431308,0.07389299376161473,-2.6051372625371356,0.005334465189873418,-5.233566644825336,0.05507261204064061,-2.8991027455516485,0.45161290322580644,4.889194272000402,4.884911389650683,4.864993718390869,20.55806451612903,77.06451612903226,1.8451612903225807,1014.9064516129032,0.11070897883827246,-0.8333974747118713,0.07396336238882739,-0.8225801763053244,0.11037086777457716,-0.8295955583277985,2.9509216589861715,-1.399769585253452,1.4398041474654377,-2.007834101382514,-0.08410138248847926,-0.8333974747118713,-0.3720068841411788,,,,-0.8225801763053244,-0.3615278124279735,,,,-0.8295955583277985,-0.35721257414814556,,,,3,2001_3
2001,4,9920.7904758,722.4240417999999,7622.54219,138726.33333333334,11.840258446489296,0.0715133906982332,-2.63787056432458,0.005207548015156939,-5.25764616448626,0.05494661328418781,-2.901393232712719,0.26666666666666666,2.8789464378755705,2.876885476616981,2.8772585200996468,22.37,85.33333333333333,4.446666666666667,1011.9633333333334,-0.03273330178744427,-2.010247834124831,-0.024079519660924475,-2.008025913033702,-0.002290487161070498,-1.987735198291222,1.8119354838709718,8.268817204301072,2.6015053763440865,-2.9431182795698305,-0.18494623655913978,-2.010247834124831,-0.8333974747118713,-0.3720068841411788,,,-2.008025913033702,-0.8225801763053244,-0.3615278124279735,,,-1.987735198291222,-0.8295955583277985,-0.35721257414814556,,,4,2001_4
2001,5,10154.6200532,744.9031282,7644.8096743,138726.33333333334,11.840258446489296,0.07319893641822389,-2.6145743879261145,0.005369587087767523,-5.227004265826019,0.055107127036443444,-2.898476223884036,0.03225806451612903,0.34932683301152245,0.34851194452946843,0.3476098560291981,26.69677419354839,82.3225806451613,5.233870967741935,1007.5483870967741,0.023296176398465374,-2.529619604864048,0.030641898660241473,-2.528373532087513,0.0029170088286831763,-2.5296486640704487,4.326774193548388,-3.0107526881720332,0.7872043010752678,-4.414946236559217,-0.23440860215053763,-2.529619604864048,-2.010247834124831,-0.8333974747118713,-0.3720068841411788,,-2.528373532087513,-2.008025913033702,-0.8225801763053244,-0.3615278124279735,,-2.5296486640704487,-1.987735198291222,-0.8295955583277985,-0.35721257414814556,,5,2001_5
2001,6,10181.5454737,756.4400591000001,7539.181006,138726.33333333334,11.840258446489296,0.07339302660898316,-2.611926353202164,0.005452750324499795,-5.211635150901095,0.054345709461553794,-2.9123896112807617,0.0,0.0,0.0,0.0,27.6,85.06666666666666,36.125,1005.56,0.0026480347239505875,-0.34932683301152245,0.015369114924923544,-0.34851194452946843,-0.013913387396725874,-0.3476098560291981,0.9032258064516121,2.7440860215053675,30.891129032258064,-1.988387096774204,-0.03225806451612903,-0.34932683301152245,-2.529619604864048,-2.010247834124831,-0.8333974747118713,,-0.34851194452946843,-2.528373532087513,-2.008025913033702,-0.8225801763053244,,-0.3476098560291981,-2.5296486640704487,-1.987735198291222,-0.8295955583277985,,6,2001_6
2001,7,10549.4969049,775.5408418,8073.8933737,145903.0,11.890697296328268,0.07230486628033693,-2.626863845300441,0.005315455074947054,-5.237136649979155,0.05533740480798887,-2.8943062011333742,0.06451612903225806,0.7015197400734128,0.6960378200326727,0.6985401520203772,28.135483870967743,83.61290322580645,21.179032258064513,1003.9774193548387,-0.014937492098276994,0.7015197400734128,-0.025501499078059986,0.6960378200326727,0.018083410147387458,0.6985401520203772,0.5354838709677416,-1.4537634408602145,-14.945967741935487,-1.5825806451612152,0.06451612903225806,0.7015197400734128,-0.34932683301152245,-2.529619604864048,-2.010247834124831,,0.6960378200326727,-0.34851194452946843,-2.528373532087513,-2.008025913033702,,0.6985401520203772,-0.3476098560291981,-2.5296486640704487,-1.987735198291222,,7,2001_7
2001,8,10604.3559112,775.4951047,8110.6743911,145903.0,11.890697296328268,0.07268086270467365,-2.6216771656199125,0.0053151415988704825,-5.237195626175183,0.05558949707065653,-2.889760997176653,0.0967741935483871,1.0530358433807288,1.0474534491039933,1.048007102117146,29.177419354838708,79.90322580645162,10.291935483870969,1005.441935483871,0.005186679680528439,0.351516103307316,-5.897619602723836e-05,0.3514156290713206,0.004545203956721089,0.34946695009676876,1.0419354838709651,-3.7096774193548328,-10.887096774193544,1.4645161290322903,0.03225806451612903,0.351516103307316,0.7015197400734128,-0.34932683301152245,-2.529619604864048,-0.3720068841411788,0.3514156290713206,0.6960378200326727,-0.34851194452946843,-2.528373532087513,-0.3615278124279735,0.34946695009676876,0.6985401520203772,-0.3476098560291981,-2.5296486640704487,-0.35721257414814556,8,2001_8
2001,9,10925.7912697,802.5909266,8134.445986399999,145903.0,11.890697296328268,0.07488393843649548,-2.591815851554723,0.005500852803574978,-5.202852143568076,0.055752424462828035,-2.886834381465014,0.2,2.184406041078073,2.173877161937438,2.170350859752323,28.12,75.43333333333334,18.78166666666667,1007.4366666666666,0.029861314065189326,1.1313701976973443,0.03434348260710696,1.126423712833445,0.0029266157116389913,1.1223437576351771,-1.0574193548387072,-4.4698924731182785,8.489731182795701,1.99473118279559,0.10322580645161292,1.1313701976973443,0.351516103307316,0.7015197400734128,-0.34932683301152245,-0.8333974747118713,1.126423712833445,0.3514156290713206,0.6960378200326727,-0.34851194452946843,-0.8225801763053244,1.1223437576351771,0.34946695009676876,0.6985401520203772,-0.3476098560291981,-0.8295955583277985,9,2001_9
2001,10,11018.589926,814.246101,7893.0319325,147940.33333333334,11.904564318305018,0.07447995876265431,-2.5972251996835336,0.005503881751877445,-5.202301662615774,0.053352806193262596,-2.930828702931418,0.16129032258064516,1.7640353605463766,1.7588195492205594,1.7486986321631066,26.08709677419355,72.64516129032258,0.35806451612903223,1014.6645161290322,-0.005409348128810443,-0.42037068053169646,0.0005504809523015908,-0.4150576127168788,-0.04399432146640381,-0.4216522275892165,-2.03290322580645,-2.7881720430107606,-18.423602150537636,7.2278494623656115,-0.038709677419354854,-0.42037068053169646,1.1313701976973443,0.351516103307316,0.7015197400734128,-2.010247834124831,-0.4150576127168788,1.126423712833445,0.3514156290713206,0.6960378200326727,-2.008025913033702,-0.4216522275892165,1.1223437576351771,0.34946695009676876,0.6985401520203772,-1.987735198291222,10,2001_10
