DATE,NOx,PM10,SO2,Year,Month,Day,DayOfWeek,Pressure_t,Temp_t,RH_t,Rainfall_t,WindDir_t,WindSp_t,Favorable,ln_PRD_NOx,ln_PRD_PM10,ln_PRD_SO2,ln_NOx,ln_PM10,ln_SO2,ln_PRD_NOx_lag1,ln_PRD_PM10_lag1,ln_PRD_SO2_lag1,Post2013,month_year
2001-02-11,117.0,49.0,16.0,2001,2,11,6,1017.9,17.1,80,0.05,60.0,21.0,1,7.349966750354373,7.321779746276009,7.297695473032975,4.762173934797756,3.8918202981106265,2.772588722239781,7.349966750354373,7.321779746276009,7.297695473032975,0,2001_2
2001-02-12,173.0,59.0,25.0,2001,2,12,0,1016.4,19.4,79,0.0,40.0,16.3,0,7.349966750354373,7.321779746276009,7.297695473032975,5.153291594497779,4.07753744390572,3.2188758248682006,7.349966750354373,7.321779746276009,7.297695473032975,0,2001_2
2001-02-13,102.5,48.0,15.0,2001,2,13,1,1018.5,17.6,78,0.05,70.0,27.7,0,7.349966750354373,7.321779746276009,7.297695473032975,4.629862798578463,3.871201010907891,2.70805020110221,7.349966750354373,7.321779746276009,7.297695473032975,0,2001_2
2001-02-14,83.5,32.0,10.0,2001,2,14,2,1023.1,13.3,63,0.0,10.0,29.2,1,7.349966750354373,7.321779746276009,7.297695473032975,4.42484663185681,3.4657359027997265,2.302585092994046,7.349966750354373,7.321779746276009,7.297695473032975,0,2001_2
2001-02-15,161.0,56.0,20.0,2001,2,15,3,1023.0,15.2,64,0.0,20.0,20.5,1,7.349966750354373,7.321779746276009,7.297695473032975,5.081404364984463,4.02535169073515,2.995732273553991,7.349966750354373,7.321779746276009,7.297695473032975,0,2001_2
2001-02-16,116.0,76.0,14.0,2001,2,16,4,1023.7,16.8,70,0.0,60.0,28.1,1,7.349966750354373,7.321779746276009,7.297695473032975,4.7535901911063645,4.330733340286331,2.6390573296152584,7.349966750354373,7.321779746276009,7.297695473032975,0,2001_2
2001-02-17,103.0,121.0,12.0,2001,2,17,5,1021.0,16.4,69,0.0,70.0,33.2,0,7.349966750354373,7.321779746276009,7.297695473032975,4.634728988229636,4.795790545596741,2.4849066497880004,7.349966750354373,7.321779746276009,7.297695473032975,0,2001_2
2001-02-18,148.0,67.0,15.0,2001,2,18,6,1017.1,19.3,75,0.0,30.0,12.0,0,7.349966750354373,7.321779746276009,7.297695473032975,4.997212273764115,4.204692619390966,2.70805020110221,7.349966750354373,7.321779746276009,7.297695473032975,0,2001_2
2001-02-19,182.0,66.0,21.0,2001,2,19,0,1016.3,20.3,78,0.0,30.0,14.3,0,7.349966750354373,7.321779746276009,7.297695473032975,5.204006687076795,4.189654742026425,3.044522437723423,7.349966750354373,7.321779746276009,7.297695473032975,0,2001_2
2001-02-20,80.5,48.0,9.0,2001,2,20,1,1015.3,19.7,76,0.0,50.0,22.3,1,7.349966750354373,7.321779746276009,7.297695473032975,4.388257184424518,3.871201010907891,2.1972245773362196,7.349966750354373,7.321779746276009,7.297695473032975,0,2001_2
2001-02-21,235.0,79.0,25.0,2001,2,21,2,1013.4,20.7,75,0.0,30.0,10.1,0,7.349966750354373,7.321779746276009,7.297695473032975,5.459585514144159,4.3694478524670215,3.2188758248682006,7.349966750354373,7.321779746276009,7.297695473032975,0,2001_2
2001-02-22,245.0,77.0,27.0,2001,2,22,3,1012.3,21.1,78,0.0,40.0,14.3,0,7.349966750354373,7.321779746276009,7.297695473032975,5.501258210544727,4.343805421853684,3.295836866004329,7.349966750354373,7.321779746276009,7.297695473032975,0,2001_2
2001-02-23,268.5,76.0,25.0,2001,2,23,4,1010.8,21.0,75,0.0,40.0,11.2,0,7.349966750354373,7.321779746276009,7.297695473032975,5.5928509139489195,4.330733340286331,3.2188758248682006,7.349966750354373,7.321779746276009,7.297695473032975,0,2001_2
2001-02-24,151.0,76.0,32.0,2001,2,24,5,1012.1,21.6,78,0.0,270.0,24.4,0,7.349966750354373,7.321779746276009,7.297695473032975,5.017279836814924,4.330733340286331,3.4657359027997265,7.349966750354373,7.321779746276009,7.297695473032975,0,2001_2
2001-02-25,73.5,36.0,9.0,2001,2,25,6,1018.5,15.4,80,8.8,50.0,38.0,1,7.349966750354373,7.321779746276009,7.297695473032975,4.297285406218791,3.58351893845611,2.1972245773362196,7.349966750354373,7.321779746276009,7.297695473032975,0,2001_2
2001-02-26,73.5,25.0,8.0,2001,2,26,0,1019.1,14.8,85,0.05,60.0,34.4,1,7.349966750354373,7.321779746276009,7.297695473032975,4.297285406218791,3.2188758248682006,2.0794415416798357,7.349966750354373,7.321779746276009,7.297695473032975,0,2001_2
2001-02-27,143.5,36.0,12.0,2001,2,27,1,1018.4,18.9,81,0.05,60.0,23.5,1,7.349966750354373,7.321779746276009,7.297695473032975,4.966335035199676,3.58351893845611,2.4849066497880004,7.349966750354373,7.321779746276009,7.297695473032975,0,2001_2
2001-02-28,256.0,137.0,76.5,2001,2,28,2,1017.3,18.5,86,1.0,340.0,13.1,0,7.349966750354373,7.321779746276009,7.297695473032975,5.545177444479562,4.919980925828125,4.33729074083249,7.349966750354373,7.321779746276009,7.297695473032975,0,2001_2
2001-03-01,122.5,50.0,22.0,2001,3,1,3,1019.4,17.7,63,0.0,350.0,19.6,1,7.392085826372885,7.382602301169938,7.338498886237493,4.808111029984782,3.912023005428146,3.091042453358316,7.349966750354373,7.321779746276009,7.297695473032975,0,2001_3
2001-03-02,77.5,76.0,12.0,2001,3,2,4,1019.4,18.1,65,0.0,70.0,33.8,0,7.392085826372885,7.382602301169938,7.338498886237493,4.350277936359301,4.330733340286331,2.4849066497880004,7.392085826372885,7.382602301169938,7.338498886237493,0,2001_3
2001-03-03,125.0,115.0,24.0,2001,3,3,5,1018.7,19.9,72,0.05,40.0,18.3,1,7.392085826372885,7.382602301169938,7.338498886237493,4.8283137373023015,4.74493212836325,3.1780538303479458,7.392085826372885,7.382602301169938,7.338498886237493,0,2001_3
2001-03-04,97.0,101.0,15.0,2001,3,4,6,1020.2,19.6,46,0.0,10.0,22.6,1,7.392085826372885,7.382602301169938,7.338498886237493,4.574710978503383,4.61512051684126,2.70805020110221,7.392085826372885,7.382602301169938,7.338498886237493,0,2001_3
2001-03-05,92.0,107.0,10.5,2001,3,5,0,1017.5,19.1,68,0.0,60.0,27.0,1,7.392085826372885,7.382602301169938,7.338498886237493,4.5217885770490405,4.672828834461906,2.3513752571634776,7.392085826372885,7.382602301169938,7.338498886237493,0,2001_3
2001-03-06,115.0,111.0,12.0,2001,3,6,1,1015.9,20.9,79,0.0,40.0,18.8,1,7.392085826372885,7.382602301169938,7.338498886237493,4.74493212836325,4.709530201312334,2.4849066497880004,7.392085826372885,7.382602301169938,7.338498886237493,0,2001_3
2001-03-07,158.5,93.0,14.0,2001,3,7,2,1015.8,21.6,85,0.05,80.0,21.5,0,7.392085826372885,7.382602301169938,7.338498886237493,5.065754593317335,4.532599493153256,2.6390573296152584,7.392085826372885,7.382602301169938,7.338498886237493,0,2001_3
2001-03-08,87.0,39.0,9.0,2001,3,8,3,1022.0,16.6,77,0.05,10.0,33.1,1,7.392085826372885,7.382602301169938,7.338498886237493,4.465908118654584,3.6635616461296463,2.1972245773362196,7.392085826372885,7.382602301169938,7.338498886237493,0,2001_3
2001-03-09,86.0,148.0,13.0,2001,3,9,4,1022.1,16.6,65,0.05,50.0,29.6,1,7.392085826372885,7.382602301169938,7.338498886237493,4.454347296253507,4.997212273764115,2.5649493574615367,7.392085826372885,7.382602301169938,7.338498886237493,0,2001_3
2001-03-10,128.0,113.0,18.0,2001,3,10,5,1019.3,18.0,70,0.05,60.0,25.1,1,7.392085826372885,7.382602301169938,7.338498886237493,4.852030263919617,4.727387818712341,2.8903717578961645,7.392085826372885,7.382602301169938,7.338498886237493,0,2001_3
2001-03-11,217.5,99.0,21.0,2001,3,11,6,1018.5,18.3,85,2.7,40.0,14.5,0,7.392085826372885,7.382602301169938,7.338498886237493,5.382198850528739,4.59511985013459,3.044522437723423,7.392085826372885,7.382602301169938,7.338498886237493,0,2001_3
2001-03-12,101.0,32.0,10.0,2001,3,12,0,1019.7,18.2,76,1.3,10.0,22.6,1,7.392085826372885,7.382602301169938,7.338498886237493,4.61512051684126,3.4657359027997265,2.302585092994046,7.392085826372885,7.382602301169938,7.338498886237493,0,2001_3
2001-03-13,83.0,83.0,11.0,2001,3,13,1,1019.2,18.5,64,0.0,70.0,37.4,0,7.392085826372885,7.382602301169938,7.338498886237493,4.418840607796598,4.418840607796598,2.3978952727983707,7.392085826372885,7.382602301169938,7.338498886237493,0,2001_3
2001-03-14,121.0,75.0,11.0,2001,3,14,2,1017.8,20.3,81,0.05,50.0,20.4,1,7.392085826372885,7.382602301169938,7.338498886237493,4.795790545596741,4.31748811353631,2.3978952727983707,7.392085826372885,7.382602301169938,7.338498886237493,0,2001_3
2001-03-15,138.5,50.0,15.0,2001,3,15,3,1015.4,22.2,79,0.0,50.0,10.0,0,7.392085826372885,7.382602301169938,7.338498886237493,4.930870325627393,3.912023005428146,2.70805020110221,7.392085826372885,7.382602301169938,7.338498886237493,0,2001_3
2001-03-16,106.5,58.0,8.0,2001,3,16,4,1012.0,21.8,89,0.05,70.0,14.6,0,7.392085826372885,7.382602301169938,7.338498886237493,4.66814498514948,4.060443010546419,2.0794415416798357,7.392085826372885,7.382602301169938,7.338498886237493,0,2001_3
2001-03-17,184.5,65.0,22.0,2001,3,17,5,1011.4,22.9,85,0.05,40.0,10.8,0,7.392085826372885,7.382602301169938,7.338498886237493,5.217649463480582,4.174387269895637,3.091042453358316,7.392085826372885,7.382602301169938,7.338498886237493,0,2001_3
2001-03-18,144.0,74.0,23.0,2001,3,18,6,1014.3,21.5,86,0.05,70.0,19.5,0,7.392085826372885,7.382602301169938,7.338498886237493,4.969813299576001,4.30406509320417,3.1354942159291497,7.392085826372885,7.382602301169938,7.338498886237493,0,2001_3
2001-03-19,108.5,44.0,11.0,2001,3,19,0,1014.6,20.7,84,0.05,40.0,20.2,1,7.392085826372885,7.382602301169938,7.338498886237493,4.686750172980514,3.784189633918261,2.3978952727983707,7.392085826372885,7.382602301169938,7.338498886237493,0,2001_3
2001-03-20,162.5,44.0,28.5,2001,3,20,1,1011.8,23.0,85,0.1,20.0,7.0,0,7.392085826372885,7.382602301169938,7.338498886237493,5.090678001769792,3.784189633918261,3.349904087274605,7.392085826372885,7.382602301169938,7.338498886237493,0,2001_3
2001-03-21,182.5,82.0,47.5,2001,3,21,2,1011.0,22.6,72,0.0,360.0,8.7,0,7.392085826372885,7.382602301169938,7.338498886237493,5.206750173022546,4.406719247264253,3.8607297110405954,7.392085826372885,7.382602301169938,7.338498886237493,0,2001_3
2001-03-22,141.0,64.0,14.0,2001,3,22,3,1010.2,22.5,84,0.0,40.0,12.4,0,7.392085826372885,7.382602301169938,7.338498886237493,4.948759890378168,4.1588830833596715,2.6390573296152584,7.392085826372885,7.382602301169938,7.338498886237493,0,2001_3
2001-03-23,99.0,43.0,14.0,2001,3,23,4,1009.5,24.4,84,0.2,190.0,13.3,0,7.392085826372885,7.382602301169938,7.338498886237493,4.59511985013459,3.7612001156935624,2.6390573296152584,7.392085826372885,7.382602301169938,7.338498886237493,0,2001_3
2001-03-24,112.5,30.0,25.0,2001,3,24,5,1007.9,25.5,81,0.05,170.0,9.2,0,7.392085826372885,7.382602301169938,7.338498886237493,4.722953221644475,3.4011973816621555,3.2188758248682006,7.392085826372885,7.382602301169938,7.338498886237493,0,2001_3
2001-03-25,109.5,28.0,13.0,2001,3,25,6,1006.4,23.7,87,46.2,200.0,21.3,0,7.392085826372885,7.382602301169938,7.338498886237493,4.695924549256556,3.332204510175204,2.5649493574615367,7.392085826372885,7.382602301169938,7.338498886237493,0,2001_3
2001-03-26,88.5,35.0,10.0,2001,3,26,0,1008.3,20.1,82,0.05,70.0,30.0,0,7.392085826372885,7.382602301169938,7.338498886237493,4.483002552013883,3.5553480614894135,2.302585092994046,7.392085826372885,7.382602301169938,7.338498886237493,0,2001_3
2001-03-27,125.5,50.0,11.5,2001,3,27,1,1007.5,19.8,89,5.4,50.0,23.0,1,7.392085826372885,7.382602301169938,7.338498886237493,4.832305758571839,3.912023005428146,2.4423470353692043,7.392085826372885,7.382602301169938,7.338498886237493,0,2001_3
