Year,Month,Day,Pressure_t,Temp_t,RH_t,Rainfall_t,WindDir_t,WindSp_t
2001,4,10,1012.7,21.4,89,0.3,70.0,33.1
2001,4,11,1015.7,18.1,84,4.2,360.0,30.8
2001,4,12,1016.6,17.8,65,0.0,360.0,24.4
2001,4,13,1016.2,19.4,76,0.05,60.0,29.0
2001,4,14,1018.3,21.1,72,0.05,40.0,16.8
2001,4,15,1016.8,22.2,74,0.0,70.0,21.7
2001,4,16,1013.2,22.6,82,0.0,70.0,15.2
2001,4,17,1010.2,23.9,85,0.0,40.0,4.9
2001,4,18,1008.8,23.7,91,5.4,100.0,13.9
2001,4,19,1008.0,22.9,94,2.3,90.0,14.8
2001,4,20,1004.6,26.5,84,0.05,170.0,23.0
2001,4,21,1005.5,25.6,87,1.2,40.0,19.4
2001,4,22,1010.8,21.6,90,3.6,70.0,41.6
2001,4,23,1012.5,20.8,90,1.4,70.0,31.8
2001,4,24,1012.1,23.1,89,0.05,50.0,11.7
2001,4,25,1013.3,21.6,91,3.2,10.0,18.2
2001,4,26,1014.7,22.0,82,0.05,70.0,30.8
2001,4,27,1012.5,22.7,79,0.0,70.0,25.7
2001,4,28,1009.8,24.2,90,0.05,20.0,14.0
2001,4,29,1009.6,26.8,87,0.3,180.0,9.0
2001,4,30,1011.0,27.8,82,0.0,230.0,8.2
2001,5,1,1011.1,25.6,85,0.8,270.0,8.8
2001,5,2,1009.7,24.9,87,0.05,40.0,10.8
2001,5,3,1011.8,23.9,90,3.2,70.0,21.7
2001,5,4,1012.6,24.5,87,0.1,60.0,17.7
2001,5,5,1010.5,26.8,82,0.05,40.0,10.3
2001,5,6,1008.3,28.1,80,0.0,230.0,12.8
2001,5,7,1006.2,28.9,78,0.0,220.0,22.5
2001,5,8,1004.7,29.0,82,5.2,220.0,14.1
2001,5,9,1005.3,26.5,87,30.4,40.0,14.9
2001,5,10,1009.6,24.7,80,0.05,10.0,24.6
2001,5,11,1010.8,24.6,79,0.2,80.0,17.4
2001,5,12,1008.6,25.7,75,0.0,100.0,11.3
2001,5,13,1007.2,26.2,76,0.0,230.0,14.3
2001,5,14,1008.8,27.1,75,0.0,220.0,9.2
2001,5,15,1011.5,26.5,80,0.1,80.0,17.2
2001,5,16,1012.1,26.1,80,1.2,70.0,26.4
2001,5,17,1010.5,25.8,87,0.5,80.0,24.7
2001,5,18,1006.2,26.8,86,22.8,220.0,19.0
2001,5,19,1004.0,26.6,89,1.8,250.0,9.3
2001,5,20,1003.5,28.3,81,0.05,230.0,19.7
2001,5,21,1003.1,27.8,83,27.6,230.0,22.8
2001,5,22,1002.9,26.8,88,14.6,270.0,7.2
2001,5,23,1004.0,27.1,87,0.0,90.0,16.0
2001,5,24,1004.5,27.5,83,0.0,100.0,15.5
2001,5,25,1006.0,27.6,82,0.0,90.0,22.4
2001,5,26,1008.0,28.0,80,0.0,90.0,18.6
2001,5,27,1007.5,28.3,72,0.0,60.0,16.7
2001,5,28,1006.0,27.7,81,1.2,80.0,29.3
2001,5,29,1004.7,27.4,80,0.05,80.0,29.5
2001,5,30,1005.3,26.3,89,50.8,80.0,10.7
2001,5,31,1009.0,26.5,81,1.5,80.0,24.5
